countryiso3code,date,SL.UEM.TOTL.ZS
OSS,2016-01-01,8.57033729989458
OSS,2015-01-01,8.88962681266777
OSS,2014-01-01,9.28835108260616
PSS,2023-01-01,3.72942065533497
PSS,2022-01-01,3.83067888737598
PSS,2021-01-01,3.60474415655574
PSS,2020-01-01,3.50581280666335
PSS,2019-01-01,3.51851427690957
PSS,2018-01-01,3.49163625149505
PSS,2017-01-01,3.48418829093629
PSS,2016-01-01,3.46624189356177
PSS,2015-01-01,3.46048200664483
PSS,2014-01-01,3.46103866764466
PST,2023-01-01,4.45596873789694
PST,2022-01-01,4.50999157227142
PST,2021-01-01,5.79579066217279
PST,2020-01-01,6.707652739053
PST,2019-01-01,4.93964776716091
PST,2018-01-01,5.28825303519223
PST,2017-01-01,5.83639833337156
PST,2016-01-01,6.4043730200603
PST,2015-01-01,6.86785629878725
PST,2014-01-01,7.44120265953412
PRE,2023-01-01,5.16816565702535
PRE,2022-01-01,5.21942761134312
PRE,2021-01-01,5.88360900576437
PRE,2020-01-01,6.04272774627958
PRE,2019-01-01,5.51609281598594
PRE,2018-01-01,5.45851475517408
PRE,2017-01-01,5.46533363858061
PRE,2016-01-01,5.1886831437827
PRE,2015-01-01,5.10192042563972
PRE,2014-01-01,5.01367464138972
SST,2023-01-01,7.88971878930358
SST,2022-01-01,8.11159054588073
SST,2021-01-01,8.68223921514957
SST,2020-01-01,9.092816530217
SST,2019-01-01,7.5896147335354
SST,2018-01-01,7.85457543799761
SST,2017-01-01,8.09252205807457
SST,2016-01-01,8.43823032520535
SST,2015-01-01,8.67227846770129
SST,2014-01-01,9.05953639254819
SAS,2023-01-01,4.61349940430436
SAS,2022-01-01,5.14528947887754
SAS,2021-01-01,6.44589719333181
SAS,2020-01-01,7.55004885180795
SAS,2019-01-01,6.23383231502801
SAS,2018-01-01,7.00880479011883
SAS,2017-01-01,6.95480348947292
SAS,2016-01-01,6.9159758345075
SAS,2015-01-01,7.10982709880107
SAS,2014-01-01,7.00081709920807
TSA,2023-01-01,4.61349940430436
TSA,2022-01-01,5.14528947887754
TSA,2021-01-01,6.44589719333181
TSA,2020-01-01,7.55004885180795
TSA,2019-01-01,6.23383231502801
TSA,2018-01-01,7.00880479011883
TSA,2017-01-01,6.95480348947292
TSA,2016-01-01,6.91597583450751
TSA,2015-01-01,7.10982709880107
TSA,2014-01-01,7.00081709920806
SSF,2023-01-01,5.9681441605434
SSF,2022-01-01,6.0782191698974
SSF,2021-01-01,6.69681929875394
SSF,2020-01-01,6.56697284213806
SSF,2019-01-01,6.1385567095684
SSF,2018-01-01,6.01754020171336
