countryiso3code,date,FP.CPI.TOTL
BRB,2017-01-01,124.24507403521
BRB,2016-01-01,118.712836656173
BRB,2015-01-01,117.210285040264
BRB,2014-01-01,118.52926677929
BLR,2023-01-01,710.463188170058
BLR,2022-01-01,676.627747581603
BLR,2021-01-01,587.301149813956
BLR,2020-01-01,536.542688278354
BLR,2019-01-01,508.339294380209
BLR,2018-01-01,481.390313879142
BLR,2017-01-01,459.025218055968
BLR,2016-01-01,432.912632614287
BLR,2015-01-01,387.093945157894
BLR,2014-01-01,340.948328529255
BEL,2023-01-01,137.819385631235
BEL,2022-01-01,132.456219048303
BEL,2021-01-01,120.856958300438
BEL,2020-01-01,117.978001866073
BEL,2019-01-01,117.110457187971
BEL,2018-01-01,115.451625636977
BEL,2017-01-01,113.128902605325
BEL,2016-01-01,110.773882150291
BEL,2015-01-01,108.629692097897
BEL,2014-01-01,108.02321825881
BLZ,2023-01-01,121.734880395108
BLZ,2022-01-01,116.61564017262
BLZ,2021-01-01,109.728123082433
BLZ,2020-01-01,106.288997389243
BLZ,2019-01-01,106.160082270615
BLZ,2018-01-01,105.961860070454
BLZ,2017-01-01,105.676551744532
BLZ,2016-01-01,104.477512032706
BLZ,2015-01-01,103.788947954679
BLZ,2014-01-01,104.690948425632
BEN,2023-01-01,120.823695911462
BEN,2022-01-01,117.611691618775
BEN,2021-01-01,116.04419147224
BEN,2020-01-01,114.066798322144
BEN,2019-01-01,110.720040198148
BEN,2018-01-01,109.914532239727
BEN,2017-01-01,108.913431866169
BEN,2016-01-01,108.86633100536
BEN,2015-01-01,109.736884846516
BEN,2014-01-01,109.497320123437
BTN,2023-01-01,212.180694578194
BTN,2022-01-01,203.570977260005
BTN,2021-01-01,192.704073301911
BTN,2020-01-01,179.515409348127
BTN,2019-01-01,169.948393577383
BTN,2018-01-01,165.437845896943
BTN,2017-01-01,161.05087817625
BTN,2016-01-01,153.447429647958
BTN,2015-01-01,148.660722526853
BTN,2014-01-01,142.193554958547
BOL,2023-01-01,157.40476617273
BOL,2022-01-01,153.450518176398
BOL,2021-01-01,150.816761737338
BOL,2020-01-01,149.712803892505
BOL,2019-01-01,148.317518475358
BOL,2018-01-01,145.638433874571
BOL,2017-01-01,142.402953510878
BOL,2016-01-01,138.493613869075
BOL,2015-01-01,133.651146397123
BOL,2014-01-01,128.437100493447
BWA,2023-01-01,191.981583240697
BWA,2022-01-01,182.721938000665
BWA,2021-01-01,163.633196988276
BWA,2020-01-01,152.584581533137
BWA,2019-01-01,149.753698758867
BWA,2018-01-01,145.713267399351
BWA,2017-01-01,141.143033956383
BWA,2016-01-01,136.623156350634
BWA,2015-01-01,132.882567987256
BWA,2014-01-01,128.934551163777
BRA,2023-01-01,213.87513528772
BRA,2022-01-01,204.482120615775
BRA,2021-01-01,187.117425058296
BRA,2020-01-01,172.774291252888
BRA,2019-01-01,167.397860280061
BRA,2018-01-01,161.373814183906
BRA,2017-01-01,155.668786230018
BRA,2016-01-01,150.482594206408
BRA,2015-01-01,138.388614560102
BRA,2014-01-01,126.927212865611
BRN,2023-01-01,106.859907015157
BRN,2022-01-01,106.479705986051
BRN,2021-01-01,102.69810471103
BRN,2020-01-01,100.948253665821
BRN,2019-01-01,99.0268165721066
BRN,2018-01-01,99.4150542992179
BRN,2017-01-01,98.4063383634936
BRN,2016-01-01,99.6625909496525
BRN,2015-01-01,99.9411201211483
BRN,2014-01-01,100.431575127898
BGR,2023-01-01,151.670713970091
BGR,2022-01-01,138.584408106261
BGR,2021-01-01,120.168304321485
BGR,2020-01-01,116.331973243132
BGR,2019-01-01,114.418393160353
BGR,2018-01-01,110.974058623258
BGR,2017-01-01,107.936147464138
BGR,2016-01-01,105.755888099687
BGR,2015-01-01,106.607307237894
BGR,2014-01-01,106.718970777133
BFA,2023-01-01,131.759116014267
BFA,2022-01-01,130.787482169834
BFA,2021-01-01,114.434519867232
BFA,2020-01-01,110.40098363882
BFA,2019-01-01,108.359022934412
BFA,2018-01-01,111.979764709293
BFA,2017-01-01,109.831522699898
BFA,2016-01-01,108.226524455215
BFA,2015-01-01,107.751296576491
BFA,2014-01-01,106.975893599335
BDI,2023-01-01,319.517907407394
BDI,2022-01-01,251.704878819603
BDI,2021-01-01,211.871226580912
BDI,2020-01-01,195.44497823506
BDI,2019-01-01,182.112339994344
BDI,2018-01-01,183.371685700859
BDI,2017-01-01,188.682529221908
BDI,2016-01-01,162.583720148134
BDI,2015-01-01,154.023568290146
BDI,2014-01-01,145.932087987576
CPV,2022-01-01,122.222274152969
CPV,2021-01-01,113.241195084123
CPV,2020-01-01,111.171020616435
CPV,2019-01-01,110.501606515952
CPV,2018-01-01,109.292107113842
CPV,2017-01-01,107.935364262011
CPV,2016-01-01,107.095292454784
CPV,2015-01-01,108.624526319136
CPV,2014-01-01,108.48221067765
KHM,2023-01-01,148.306623905508
KHM,2022-01-01,145.217175025789
KHM,2021-01-01,137.850836238126
