countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
BEL,2014-01-01,535390200131.018,108.02321825881,8.523
BLZ,2023-01-01,3281500000.0,121.734880395108,8.262
BLZ,2022-01-01,2830507575.6841,116.61564017262,8.724
BLZ,2021-01-01,2424575179.3783,109.728123082433,10.157
BLZ,2020-01-01,2047727810.06777,106.288997389243,10.7
BLZ,2019-01-01,2386792476.10637,106.160082270615,9.053
BLZ,2018-01-01,2292787335.62452,105.961860070454,7.899
BLZ,2017-01-01,2266664817.08822,105.676551744532,6.596
BLZ,2016-01-01,2240593542.9757,104.477512032706,7.0
BLZ,2015-01-01,2194709309.24204,103.788947954679,7.578
BLZ,2014-01-01,2125125606.25723,104.690948425632,8.244
BEN,2023-01-01,19673284686.0023,120.823695911462,1.452
BEN,2022-01-01,17425418044.2906,117.611691618775,1.473
BEN,2021-01-01,17687623530.3355,116.04419147224,1.694
BEN,2020-01-01,15686741883.934,114.066798322144,1.565
BEN,2019-01-01,14390708751.025,110.720040198148,1.402
BEN,2018-01-01,14262408089.9261,109.914532239727,1.473
BEN,2017-01-01,12701655836.9467,108.913431866169,1.722
BEN,2016-01-01,11821065853.3838,108.86633100536,1.835
BEN,2015-01-01,11388160996.7738,109.736884846516,1.855
BEN,2014-01-01,13284527846.9081,109.497320123437,1.892
BTN,2022-01-01,2898227713.22315,203.570977260005,5.947
BTN,2021-01-01,2768802803.18141,192.704073301911,4.804
BTN,2020-01-01,2457604042.40959,179.515409348127,5.03
BTN,2019-01-01,2735683408.57651,169.948393577383,2.72
BTN,2018-01-01,2583335723.32125,165.437845896943,3.35
BTN,2017-01-01,2591358115.15844,161.05087817625,3.039
BTN,2016-01-01,2322730512.46893,153.447429647958,2.737
BTN,2015-01-01,2154921010.65558,148.660722526853,2.45
BTN,2014-01-01,2057330872.73151,142.193554958547,2.63
BOL,2023-01-01,45849832906.4139,157.40476617273,3.081
BOL,2022-01-01,44008282879.8842,153.450518176398,3.552
BOL,2021-01-01,40406111693.1983,150.816761737338,5.089
BOL,2020-01-01,36629843806.0781,149.712803892505,7.903
BOL,2019-01-01,40895322850.9407,148.317518475358,3.682
BOL,2018-01-01,40287647930.5355,145.638433874571,3.519
BOL,2017-01-01,37508642170.767,142.402953510878,3.655
BOL,2016-01-01,33941126193.9219,138.493613869075,3.498
BOL,2015-01-01,33000198248.9146,133.651146397123,3.111
BOL,2014-01-01,32996188017.3661,128.437100493447,2.021
BWA,2023-01-01,19395765126.3127,191.981583240697,23.381
BWA,2022-01-01,20321958850.0363,182.721938000665,23.615
